,Neighborhood,Topic,Frequency
0,South Boston,Crime,0
1,Jamaica Plain,Crime,0
2,Mattapan,Crime,0
3,Fenway,Crime,0
4,South End,Crime,0
5,Dorchester,Crime,0
6,Dorchester,Crime,0
7,Fenway,Crime,0
8,Roxbury,Crime,12
9,Dorchester,Crime,12
10,West Roxbury,Crime,12
11,South Boston,Crime,0
12,Beacon Hill,Crime,0
13,Jamaica Plain,Crime,0
14,South Boston,Crime,0
15,Downtown,Crime,2
16,Fenway,Crime,0
17,Downtown,Crime,0
18,Brighton,Crime,0
19,Fenway,Crime,0
20,Allston,Crime,0
21,South End,Crime,0
22,Fenway,Crime,0
23,East Boston,Crime,0
24,Roxbury,Crime,0
25,Dorchester,Crime,0
26,Mattapan,Crime,0
27,Roslindale,Crime,0
28,Hyde Park,Crime,0
29,Dorchester,Crime,0
30,Fenway,Crime,0
31,Harbor Islands,Crime,0
32,Fenway,Crime,0
33,Roxbury,Crime,0
34,South Boston,Crime,6
35,Dorchester,Crime,0
36,Downtown,Crime,1
37,Downtown,Crime,0
38,Roslindale,Crime,0
39,Dorchester,Crime,0
40,Downtown,Crime,0
41,East Boston,Crime,12
42,Dorchester,Crime,0
43,Allston,Crime,1
44,Dorchester,Crime,0
45,Roxbury,Crime,10
46,Jamaica Plain,Crime,10
47,Dorchester,Crime,10
48,Roxbury,Crime,6
49,Fenway,Crime,0
50,Beacon Hill,Crime,0
51,Beacon Hill,Crime,0
52,Beacon Hill,Crime,1
53,South Boston,Crime,0
54,Downtown,Crime,2
55,Roxbury,Crime,1
56,West Roxbury,Crime,1
57,Charlestown,Crime,0
58,Dorchester,Crime,0
59,Beacon Hill,Crime,0
60,North End,Crime,0
61,Jamaica Plain,Crime,0
62,Fenway,Crime,0
63,East Boston,Crime,2
64,South End,Crime,0
65,Dorchester,Crime,0
66,Beacon Hill,Crime,1
67,East Boston,Crime,0
68,East Boston,Crime,0
69,Fenway,Crime,0
70,Dorchester,Crime,0
71,East Boston,Crime,0
72,Downtown,Crime,0
73,Jamaica Plain,Crime,5
74,Beacon Hill,Crime,0
75,East Boston,Crime,2
76,Beacon Hill,Crime,0
77,Downtown,Crime,0
78,Mattapan,Crime,19
79,Back Bay,Crime,0
80,Fenway,Crime,1
81,Dorchester,Crime,3
82,Back Bay,Crime,2
83,Downtown,Crime,2
84,Mattapan,Crime,0
85,Dorchester,Crime,0
86,Downtown,Crime,9
87,East Boston,Crime,3
88,South Boston,Crime,0
89,Back Bay,Crime,0
90,Jamaica Plain,Crime,1
91,Jamaica Plain,Crime,4
92,Dorchester,Crime,4
93,North End,Crime,5
94,Charlestown,Crime,5
95,East Boston,Crime,5
96,Dorchester,Crime,0
97,Beacon Hill,Crime,0
