muni,available_land_sqft,TransitScore,mean_income,percentage_of_shi_units,numNonVacantParcel
Abington,1371834.39,16.91666667,92236.16667,7.62,6
Acushnet,155567.3717,36,53705,2.37,2
Adams,87137.46393,46,40117,7.4,2
Amesbury,541014.4072,53.9,73730.8,10.48,10
Andover,446569.3739,49.34210526,83724.94737,13.29,19
Arlington,753566.4824,37.85,101811,5.64,10
Athol,400456.7175,27.21428571,52679.14286,6.02,7
Attleboro,838471.2864,42.53333333,72774.33333,6.42,15
Auburn,855420.2263,21.4,86452.6,3.69,5
Avon,223946.2792,12,69868,3.97,1
Barnstable,1743210.279,29.2734375,nan,7.34,64
Barre,289445.2862,8.5,68139,3.84,2
Bedford,196235.6442,42.25,129877,18.3,2
Belchertown,704065.5448,22.125,86169,6.88,4
Bellingham,963927.2406,17,100606.8,8.69,5
Belmont,631806.9905,57.83636364,147124.0556,3.61,55
Beverly,1112721.749,39.55555556,74378,11.61,18
Billerica,298637.6642,32.96428571,101622.5714,10.1,14
Blackstone,185289.5007,25.5,78063,3.41,1
Bourne,1321956.731,20.29411765,nan,8.21,17
Braintree,209427.5886,44.1875,101341.5,9.6,8
Brewster,806663.2781,12.75,nan,6.08,2
Bridgewater,672052.7449,29.55555556,93564.88889,11,9
Brockton,2034906.502,35.10483871,37913.93548,13.01,62
Buckland,5112.512977,33.5,nan,0.35,1
Burlington,237949.2679,43.78571429,108945.2857,13.33,7
Cambridge,1656406.286,48.28,86818.93617,14.8,50
Canton,982719.3971,40.575,117392.1,12.51,20
Carver,838550.1176,16.75,72960.5,3.23,2
Charlton,194722.3957,0,107364,1.74,2
Chatham,321140.4718,25.5,nan,5.2,5
Chelsea,768339.3778,34.36363636,56611.1,19.28,11
Chicopee,1263982.728,39,36904.8,10.37,5
Clinton,851356.0269,29.66666667,66955,8.58,6
Dalton,305262.7701,23.25,59122,5.56,2
Danvers,530875.2835,42.125,86971.5,10.38,12
Dartmouth,800329.045,39.33333333,76631.33333,8.66,3
Dedham,554430.5387,42.3,83253.625,11.06,40
Dennis,1476597.897,13.9,nan,5.25,10
Dighton,302386.9909,11.75,93897,5.61,2
Dracut,1465844.774,54.39473684,77279.21053,5.17,19
Dudley,414366.9006,18.25,77480,2.39,2
Duxbury,220261.8758,18.5,139199,7.41,5
East Bridgewater,120426.2439,23,95724,3.59,1
East Longmeadow,763369.0758,34.77777778,75363,7.33,9
Eastham,416656.3591,18.11538462,nan,2.05,13
Easton,618181.3545,19.6,103496.2,9.71,5
Edgartown,32169.7458,58,64810,4.54,4
Essex,81851.2675,39,113469,2.71,1
Everett,488031.6448,41.53225806,47751.93548,6.36,31
Fairhaven,612635.2972,53.28571429,56443.14286,6.94,7
Fall River,2361302.888,39.73913043,37235.67391,11.14,46
Falmouth,1252999.399,17.40322581,nan,6.64,31
Fitchburg,1383630.398,42.1875,52605.79167,8.71,24
Foxborough,2202140.582,12.125,100159.5,12.62,20
Framingham,3150399.758,44.59615385,54290.8,10.41,26
Franklin,567482.6776,27.65,101585.1,11.91,10
Gardner,489000.0771,24.83333333,51280,14.96,6
Georgetown,596976.0906,5.833333333,119511.3333,11.61,3
Gill,433597.9593,14,nan,4.06,1
Gloucester,1136248.93,48.28125,50129.57143,7.37,16
Grafton,3040715.883,19,113494.5,5.18,5
Greenfield,1552567.343,47.475,nan,13.89,20
Groton,436062.7471,10.125,121821.5,5.62,4
Groveland,43365.31953,16.5,97109,3.3,2
Hadley,374367.7692,38.5,64276,12,1
Halifax,222596.1792,9.6,92111,0.94,5
Hamilton,89421.0357,29.16666667,91382,3.02,3
Hampden,393559.1752,19,85943,3.09,1
Hanson,804767.3556,10.75,98122.83333,4.4,6
Harvard,1261818.127,2,148625,5.7,1
Harwich,525335.9272,7.7,nan,5.47,5
Hatfield,48381.25602,13,64619,3.36,1
Haverhill,887640.9307,47.07692308,51726.92308,10,13
Hingham,850861.2762,11.83333333,130116.6667,11.37,3
Holbrook,405838.3681,59.5,70288,10.32,1
Holden,130014.3644,19.5,91118,6.14,1
Holliston,532604.988,23.83333333,119087.6667,4.77,3
Hudson,739294.5163,30.3,76135.2,11.2,5
Hull,64089.18287,48.5,71193,1.69,1
Ipswich,758563.3107,23.66666667,77616.16667,8.95,6
Kingston,442054.811,18.25,103829,4.18,4
Lawrence,-14570.32494,43.5,33341,14.97,2
Lee,149121.9756,47,71369,6.51,1
Leominster,516962.5016,29,57136.5625,8.18,16
Littleton,1259447.015,14.25,121951.75,12.9,4
Lowell,1379046.348,42.20491803,44109.61667,12.5,61
Ludlow,607194.0073,38.42857143,62117.57143,3.51,14
Lunenburg,-38456.9054,14,100677,4.83,1
Lynn,1052206.666,39.54166667,47580.16667,12.42,24
Manchester,133123.0052,22,124025,5.05,2
Mansfield,1118990.999,22.94736842,123031.3684,10.76,19
Marblehead,309911.879,56.71875,149299.8125,3.9,32
Marlborough,62668.75835,38.5,78556,11.41,3
Mashpee,595142.3795,16.75,nan,5.21,4
Medford,598388.5989,35.9,84165.4,6.98,10
Medway,361181.7782,12,113057.5,8.17,4
Melrose,-51887.26882,43.80769231,108101.3846,7.96,13
Merrimac,113655.0513,43.83333333,83508,5.58,3
Methuen,572327.3935,52.3,61131.25,9.21,5
Middleborough,771817.3647,38.1,62963,6.6,5
Middleton,112511.675,10.5,102604,5.01,1
Milford,752101.6425,30.04166667,82504.16667,8.54,24
Millbury,276555.8487,19.33928571,90683.10714,3.95,28
Millville,85456.96882,12,78704,2.25,1
Milton,156905.4093,34.38888889,121943.8889,4.99,9
Monson,261982.9836,18.64285714,82215,4.05,7
Montague,345610.3855,29.5,nan,9.58,6
Nahant,80200.55053,48.66666667,90741,2.98,3
Nantucket,335447.33,46.4,94141.8,2.7,5
Natick,1414585.573,35.23529412,116362.4118,10.51,17
Needham,1236681.403,27.98,134997.1333,12.66,76
New Bedford,3707695.524,34.98120301,58650.74812,11.93,266
Newton,703162.9218,47.7804878,144147.825,7.47,41
North Attleborough,790541.5038,39.28571429,87216.14286,2.54,7
North Brookfield,146793.2363,26.25,73599,7.05,2
Northampton,1398835.525,46.71428571,64128.71429,10.92,21
Northborough,596439.0234,11.69230769,115742.7692,11.35,13
Northfield,145175.6714,18.5,nan,2.09,2
Norton,2327379.046,19,108177,8.87,1
Norwood,1556626.254,60.66666667,85184.16667,9.87,6
Oak Bluffs,17344.06345,10,82045,6.83,1
Orleans,842143.925,17.8,nan,9.24,5
Oxford,760807.2187,27,60689,7.32,3
Peabody,1403619.79,43.53571429,62360.5,9.27,14
Pembroke,1430274.3,9.772727273,102174.5455,9.51,11
Pepperell,79422.50892,27,88157.5,3,2
Phillipston,69567.7472,5.5,72900,1.22,1
Pittsfield,3513772.708,44.02380952,41487.09524,9.21,21
Plainville,552772.7256,13,98280,16.54,1
Plymouth,488768.034,16.61111111,81269.22222,3.19,9
Provincetown,84135.02714,46.16666667,nan,9.8,6
Quincy,2314375.974,32.375,47044.47222,9.61,36
Raynham,1232298.117,6.3,100060,9.68,5
Reading,413302.6764,46.83333333,100179.5,10.48,9
Revere,1033639.896,37.82631579,49216.13684,8.1,95
Rockland,882026.0856,33,86000,6.4,3
Rowley,441052.7923,10.25,114063,4.22,2
Salem,633784.9911,54.17857143,64422.14286,13.24,28
Salisbury,195308.1707,46.5,73750,15.41,1
Sandwich,1331845.245,9.083333333,nan,3.75,6
Saugus,207373.6208,25.5,69725,6.81,1
Scituate,1187783.938,14.1,124445,4.91,5
Sharon,650311.0572,15.5,115500,10.65,1
Shelburne,157314.9695,31,nan,5.71,1
Shrewsbury,883772.3681,43.58333333,102273,6.37,12
Somerville,788291.5372,44.14705882,79305.11765,9.7,17
Southborough,302513.0679,15.75,136665,13.75,4
Southbridge,140585.6059,40.68181818,47149,6.64,11
Spencer,614528.0017,42.5,56346,5.2,2
Springfield,6529665.116,33.41752577,32545.75258,16.56,97
Sterling,303105.1808,21.5,107348,2.33,1
Stoughton,790389.6351,53.56666667,74084.8,11.54,15
Sudbury,836554.845,5.035714286,176236.8571,11.3,14
Sunderland,126300.9772,2,nan,0,2
Sutton,111303.8932,20.5,100539,1.5,1
Swampscott,31004.04629,38,84107,4.31,1
Swansea,308174.2301,14.6,84230,3.86,10
Taunton,275354.099,60.4,45771.5,6.41,5
Templeton,122871.8908,15.75,70030,7.9,2
Topsfield,340097.7758,9.5,136812,7.19,1
Upton,72881.47141,16,124856,6.31,1
Uxbridge,1528826.438,14.5,80069,5,5
Walpole,464495.7477,53.9,119712.6,7.08,5
Ware,571888.5494,20,48749.66667,8.53,3
Wareham,639964.4342,24.25,73227.33333,7.73,6
Watertown,499595.266,67.08695652,96346.26087,7.1,23
Wayland,250035.702,13.1,144032.6316,6.39,20
Webster,784392.0869,27.78571429,40388,9.27,7
Wellesley,951335.8527,36.3,162032.6,6.77,5
Wellfleet,289770.3067,8.25,nan,1.94,2
West Boylston,1191328.475,9,79423,8.17,2
West Bridgewater,472761.0944,10.75,81071,4.55,2
West Springfield,517243.3824,34.66666667,58344.66667,3.4,3
West Tisbury,168207.9069,4.25,94277,1.84,2
Westfield,1018445.077,47.475,50651.4,7.24,20
Westford,1009099.603,20.625,136052.8571,13.77,8
Westhampton,368148.1486,1,89545,2.68,2
Weymouth,1187105.454,25.22222222,66230.44444,7.59,9
Whitman,543092.7542,16,91265.33333,3.63,3
Williamstown,243654.7089,23.33333333,84240.33333,7.17,3
Wilmington,485781.9906,14.75,117918.0769,10.26,14
Winchendon,1241587.181,25.44117647,71948.58824,8.1,17
Worcester,3390445.646,23.14285714,19083,13.39,15
Wrentham,970003.8968,19.25,101812,12.69,2
