District,numParcel,available_land_sqft,TransitScore,mean_income,percentage_of_shi_units,numVacantParcel,available_land_sqft,TransitScore,mean_income,percentage_of_shi_units,numNonVacantParcel,available_land_sqft,TransitScore,mean_income,percentage_of_shi_units
10th Bristol District,1,108789.9242,25,60714,9.12,,,,,,1,108789.9242,25,60714,9.12
10th Essex District,2,162394.4422,42.75,27036,12.42,2,162394.4422,42.75,27036,12.42,,,,,
10th Hampden District,15,-400053.5073,44.53333333,17050.13333,16.56,,,,,,15,-400053.5073,44.53333333,17050.13333,16.56
10th Norfolk District,4,406968.7839,32,116980.6667,11.79,,,,,,4,406968.7839,32,116980.6667,11.79
11th Essex District,33,749237.4426,44.86363636,37860.58065,12.39,28,812594.1518,45.48214286,36796.22222,12.39,5,-63356.70921,41.4,45045,12.39
11th Middlesex District,16,1145941.998,32.15625,135816.1875,7.47,9,110963.0325,38.88888889,117191.4444,7.47,7,1034978.966,23.5,159762.2857,7.47
11th Norfolk District,8,1655950.108,26.6875,103945.2,11.05,8,1655950.108,26.6875,103945.2,11.05,,,,,
11th Worcester District,5,513125.4513,7.9,131778,8.82,5,513125.4513,7.9,131778,8.82,,,,,
12th Bristol District,1,368454.4819,14.5,nan,6.45,,,,,,1,368454.4819,14.5,nan,6.45
12th Essex District,1,52002.5827,17,105885,9.27,,,,,,1,52002.5827,17,105885,9.27
12th Middlesex District,19,190519.5319,37.15789474,180052.3684,7.47,10,135830.1484,36.15,202731.3,7.47,9,54689.38356,38.27777778,154853.5556,7.47
12th Norfolk District,50,20905910.99,47.19,98634.38776,8.51,24,1280870.546,25.625,111859.3333,8.51,26,19625040.44,67.09615385,85938.44,8.51
12th Plymouth District,3,192339.5422,3.5,92111,3.9,3,192339.5422,3.5,92111,3.9,,,,,
13th Bristol District,2,59191.05777,38.75,20489.5,11.93,,,,,,2,59191.05777,38.75,20489.5,11.93
13th Suffolk District,5,37300.01423,56.6,73692,9.61,,,,,,5,37300.01423,56.6,73692,9.61
13th Worcester District,2,23980.11512,20.75,53429,13.39,,,,,,2,23980.11512,20.75,53429,13.39
14th Bristol District,13,907015.459,48,86724.83333,4.02,3,126684.8176,39.83333333,89660,4.02,10,780330.6414,50.45,85746.44444,4.02
14th Norfolk District,1,2217901.677,14,nan,6.57,,,,,,1,2217901.677,14,nan,6.57
15th Essex District,13,771496.3467,33.23076923,67409.38462,9.75,11,552034.8378,35.36363636,67637.09091,9.75,2,219461.5089,21.5,66157,9.75
15th Worcester District,3,111764.4441,44.33333333,23928.66667,13.39,1,63730.32516,46,20030,13.39,2,48034.11895,43.5,25878,13.39
16th Essex District,1,-53105.23613,42,46394,14.97,,,,,,1,-53105.23613,42,46394,14.97
16th Worcester District,2,31684.41919,33,34914.5,13.39,1,8673.740948,26.5,32579,13.39,1,23010.67824,39.5,37250,13.39
17th Essex District,8,836874.2549,47.875,111297.5,12.8,,,,,,8,836874.2549,47.875,111297.5,12.8
17th Middlesex District,3,244336.6054,41.83333333,30909.66667,12.45,2,38612.59091,42.5,23495,12.45,1,205724.0145,40.5,45739,12.45
17th Worcester District,3,3564618.778,11.5,68846,13.26,1,625269.338,10,68846,13.26,2,2939349.44,12.25,68846,13.26
18th Essex District,15,2587968.674,11.26666667,168252,12.28,,,,,,15,2587968.674,11.26666667,168252,12.28
18th Worcester District,1,1932.17004,20,100539,4.02,1,1932.17004,20,100539,4.02,,,,,
1st Barnstable District,1,432173.748,18,nan,6.07,,,,,,1,432173.748,18,nan,6.07
1st Bristol District,8,1145435.815,3.9375,111581.75,11.16,8,1145435.815,3.9375,111581.75,11.16,,,,,
