District,NumVacantParcel,available_land_sqft,TransitScore,mean_income,percentage_of_shi_units
10th Essex District,2,162394.4422,42.75,27036,12.42
11th Essex District,28,812594.1518,45.48214286,36796.22222,12.39
11th Middlesex District,9,110963.0325,38.88888889,117191.4444,7.47
11th Norfolk District,8,1655950.108,26.6875,103945.2,11.05
11th Worcester District,5,513125.4513,7.9,131778,8.82
12th Middlesex District,10,135830.1484,36.15,202731.3,7.47
12th Norfolk District,24,1280870.546,25.625,111859.3333,8.51
12th Plymouth District,3,192339.5422,3.5,92111,3.9
14th Bristol District,3,126684.8176,39.83333333,89660,4.02
15th Essex District,11,552034.8378,35.36363636,67637.09091,9.75
15th Worcester District,1,63730.32516,46,20030,13.39
16th Worcester District,1,8673.740948,26.5,32579,13.39
17th Middlesex District,2,38612.59091,42.5,23495,12.45
17th Worcester District,1,625269.338,10,68846,13.26
18th Worcester District,1,1932.17004,20,100539,4.02
1st Bristol District,8,1145435.815,3.9375,111581.75,11.16
1st Essex District,2,40013.77256,75.75,70063,13.42
24th Middlesex District,8,111863.2552,49.875,71250,10.49
25th Middlesex District,11,198406.2421,47.5,134375.2,14.8
26th Middlesex District,4,162145.7333,43.75,101103,12.86
29th Middlesex District,7,43036.74723,43.71428571,99008.33333,12.53
2nd Barnstable District,2,76659.79142,69.75,nan,7.27
2nd Essex District,1,69909.82643,5.5,104835,6.77
2nd Worcester District,1,809341.2962,5.5,98714,9.13
32nd Middlesex District,1,4894.035869,28,69219,7.96
3rd Essex District,16,2385696.822,30.8125,58462.85714,10
4th Hampden District,4,584165.2457,9.875,65115.75,7.24
4th Middlesex District,5,144986.361,31.2,81771,11.99
4th Worcester District,4,49198.73071,35.625,98000,8.18
5th Essex District,5,95952.66159,38.5,62493.2,7.04
6th Essex District,7,31556.518,48.5,79873.33333,11.61
6th Norfolk District,2,35300.61583,28,86987,12.24
7th Essex District,1,112205.4562,46,83594,13.24
8th Essex District,2,39243.08578,40,43261,6.55
8th Middlesex District,4,191018.9671,4.25,77938,12.09
8th Norfolk District,33,949670.7659,12.03030303,129547.125,10.15
8th Suffolk District,1,2315.157343,43,105263,14.8
9th Bristol District,5,1341789.303,3.6,108139,11.63
