"muni","total_parcel","total_land_value","total_vacant_parcel","total_vacant_land_value","total_blg_parcel","total_blg_value"
"Nantucket",13,16084000,8,8082600,5,8001400
"Lowell",157,122307000,96,7888100,62,114670800
"East Bridgewater",2,8224300,1,5426400,2,8224300
"Gardner",9,15711000,3,4943000,8,15661300
"New Bedford",297,133715900,31,4295100,264,130592400
"Swampscott",2,4746100,1,2868500,2,4746100
"Brockton",92,140738140,30,2646090,67,139384710
"Somerville",24,142357000,7,2534400,16,128460100
"Barnstable",84,51263600,20,2034900,64,49228700
"Dedham",53,27147400,13,1053300,40,26094100
"Wellfleet",7,2858100,5,1003600,2,1854500
"Taunton",8,14343000,3,774200,5,13568800
"Natick",22,28586500,5,738600,17,27847900
"Wilmington",19,8360900,5,638800,14,7722100
"Medford",13,113171000,3,636300,10,112534700
"Newton",42,82319500,1,617300,41,81702200
"Orleans",6,7307300,1,598600,6,7307300
"Burlington",9,23605200,2,592200,6,22761800
"Holliston",6,6780800,3,563100,4,6567400
"Cambridge",53,582246800,3,494200,50,581752600
"Groton",6,9361300,2,492200,4,8869100
"Watertown",30,87019600,7,441500,23,86578100
"Gloucester",21,46454300,5,399000,16,46055300
"Dracut",21,13866400,2,373000,19,13493400
"Walpole",9,11432100,4,363800,5,11068300
"Lawrence",5,5230800,3,363500,2,4867300
"Dennis",13,14395600,3,296300,10,14099300
"Halifax",8,2354100,3,287800,5,2066300
"Bellingham",7,8509400,2,270200,4,7680200
"Leominster",21,25076200,5,257000,16,24819200
"Pittsfield",26,35544600,5,249300,19,35198500
"Holbrook",4,4120700,3,212800,1,3907900
"Westfield",23,10916700,3,212500,20,10704200
"Rehoboth",1,204700,1,204700,0,0
"Oak Bluffs",2,910000,1,202900,1,707100
"Peabody",15,39279600,1,184900,14,39094700
"Ludlow",16,9274300,2,184100,14,9090200
"North Attleborough",12,22783400,5,173300,7,22610100
"Chicopee",10,38676800,5,155600,5,38521200
"Methuen",6,34951100,1,152200,5,34798900
"Fairhaven",10,13901100,3,145200,6,13611800
"Montague",8,6103300,2,118100,6,5985200
"Chelsea",12,67148500,1,118100,11,67030400
"Amesbury",12,19127100,2,115600,10,19011500
"Avon",4,4071100,3,108000,1,3963100
"Lynn",26,79562400,2,93600,24,79468800
"Barre",4,2577700,2,80900,2,2496800
"Hampden",2,3101900,1,64600,1,3037300
"Fitchburg",27,21942000,3,62600,21,21771600
"Spencer",4,9650200,2,58600,2,9591600
"Shelburne",2,3069200,1,45800,1,3023400
"Becket",1,36400,1,36400,0,0
"New Salem",2,29200,2,29200,0,0
"Middleton",2,1662000,1,28600,1,1633400
"Haverhill",14,27524800,1,14400,9,27226000
"Worcester",16,139991700,1,12900,15,139978800
"Holden",2,2309000,1,9400,1,2299600
"Hadley",2,2885800,1,6800,1,2879000
"Athol",11,3335800,4,6200,7,3329600
"Dudley",3,2777800,1,5300,2,2772500
"North Brookfield",3,3194700,1,1700,2,3193000
"Abington",6,10519100,0,0,4,10174600
"Acushnet",2,3675200,0,0,2,3675200
"Adams",2,1623100,0,0,2,1623100
"Andover",19,22262700,0,0,16,21592400
"Arlington",10,77323400,0,0,10,77323400
"Attleboro",15,27318000,0,0,14,27307700
"Auburn",5,10455700,0,0,5,10455700
"Bedford",2,7344900,0,0,2,7344900
"Belchertown",4,3675900,0,0,4,3675900
"Belmont",55,47205000,0,0,55,47205000
"Beverly",18,75774500,0,0,15,75331800
"Billerica",14,5663600,0,0,11,5309400
"Blackstone",1,2681600,0,0,1,2681600
"Bourne",17,12120200,0,0,9,11291600
"Braintree",8,8273000,0,0,8,8273000
"Brewster",2,3017600,0,0,2,3017600
"Bridgewater",9,11985300,0,0,9,11985300
"Buckland",1,270600,0,0,1,270600
"Canton",20,24370600,0,0,20,24370600
"Carver",2,3874500,0,0,2,3874500
"Charlton",2,487900,0,0,1,407300
"Chatham",5,10326500,0,0,5,10326500
"Clinton",6,15933800,0,0,6,15933800
"Dalton",2,3631700,0,0,2,3631700
"Danvers",12,21587400,0,0,12,21587400
"Dartmouth",3,9119000,0,0,0,0
"Dighton",2,5091200,0,0,2,5091200
"Duxbury",5,6128100,0,0,5,6128100
"East Longmeadow",9,10077100,0,0,9,10077100
"Eastham",13,5875200,0,0,13,5875200
"Easton",5,12297000,0,0,5,12297000
"Edgartown",4,2794300,0,0,4,2794300
"Essex",1,1655400,0,0,1,1655400
"Everett",31,40532800,0,0,21,40514100
"Fall River",46,115824800,0,0,42,114201500
"Falmouth",31,18439400,0,0,30,18262800
"Foxborough",20,18538800,0,0,20,18538800
"Framingham",26,55001000,0,0,17,52704300
"Franklin",10,12832000,0,0,10,12832000
"Georgetown",3,9821600,0,0,3,9821600
"Gill",1,1171600,0,0,1,1171600
"Grafton",5,74689100,0,0,5,74689100
"Greenfield",20,17690100,0,0,20,17690100
"Groveland",2,700500,0,0,2,700500
"Hamilton",3,3241700,0,0,3,3241700
"Hanson",6,6111500,0,0,4,5875200
"Harvard",1,1220800,0,0,1,1220800
"Harwich",5,4157800,0,0,4,4038200
"Hatfield",1,2092000,0,0,1,2092000
"Hingham",3,11012600,0,0,3,11012600
"Hudson",5,17122400,0,0,5,17122400
"Hull",1,4424100,0,0,1,4424100
"Ipswich",6,10556300,0,0,5,10291800
"Kingston",4,6560800,0,0,4,6560800
"Lee",1,5459000,0,0,1,5459000
"Littleton",4,2403600,0,0,3,2143600
"Lunenburg",1,2454000,0,0,1,2454000
"Manchester",2,2819800,0,0,2,2819800
"Mansfield",19,16780100,0,0,19,16780100
"Marblehead",32,27849600,0,0,30,27842300
"Marlborough",3,22294600,0,0,3,22294600
"Mashpee",4,6141100,0,0,4,6141100
"Medway",4,9254300,0,0,3,9122100
"Melrose",13,41262400,0,0,12,40885700
"Merrimac",3,2436000,0,0,3,2436000
"Middleborough",5,7295300,0,0,5,7295300
"Milford",24,22224300,0,0,20,21958900
"Millbury",28,11646000,0,0,28,11646000
"Millville",1,788400,0,0,1,788400
"Milton",9,7087200,0,0,9,7087200
"Monson",7,3465600,0,0,6,3408400
"Nahant",3,6046600,0,0,3,6046600
"Needham",76,45695100,0,0,75,45266000
"Northampton",21,52469990,0,0,19,52254690
"Northborough",13,11611800,0,0,13,11611800
"Northfield",2,1931000,0,0,2,1931000
"Norton",1,8948800,0,0,1,8948800
"Norwood",6,36834000,0,0,6,36834000
"Oxford",3,34439700,0,0,3,34439700
"Pembroke",11,23236200,0,0,11,23236200
"Pepperell",2,4841100,0,0,2,4841100
"Phillipston",1,175800,0,0,1,175800
"Plainville",1,2565900,0,0,1,2565900
"Plymouth",9,13579000,0,0,9,13579000
"Provincetown",6,16383400,0,0,6,16383400
"Quincy",36,173095500,0,0,28,171562900
"Raynham",5,5854500,0,0,2,5418900
"Reading",9,50025800,0,0,9,50025800
"Revere",95,77887100,0,0,90,77082100
"Rockland",3,5095500,0,0,2,4947400
"Rowley",2,2608800,0,0,2,2608800
"Salem",28,48880800,0,0,25,48489300
"Salisbury",1,5805800,0,0,1,5805800
"Sandwich",6,10983700,0,0,6,10983700
"Saugus",1,7502900,0,0,1,7502900
"Scituate",5,21293900,0,0,4,21217800
"Sharon",1,6225700,0,0,1,6225700
"Shrewsbury",12,21961300,0,0,12,21961300
"Southborough",4,5938800,0,0,4,5938800
"Southbridge",11,8446200,0,0,7,8345100
"Springfield",97,59028900,0,0,79,57993900
"Sterling",1,1543000,0,0,1,1543000
"Stoughton",15,27551800,0,0,14,27421800
"Sudbury",14,11717700,0,0,13,11347300
"Sunderland",2,171700,0,0,0,0
"Sutton",1,1384300,0,0,1,1384300
"Swansea",10,6200800,0,0,10,6200800
"Templeton",2,3331300,0,0,2,3331300
"Topsfield",1,3371200,0,0,1,3371200
"Upton",1,2472400,0,0,1,2472400
"Uxbridge",5,11328600,0,0,4,11303900
"Ware",3,6645100,0,0,3,6645100
"Wareham",6,5986800,0,0,3,5950800
"Wayland",20,7481900,0,0,19,7480800
"Webster",7,7601800,0,0,6,7577700
"Wellesley",5,11417000,0,0,3,8077000
"West Boylston",2,4233600,0,0,2,4233600
"West Bridgewater",2,4767900,0,0,1,4743200
"West Springfield",3,2856700,0,0,3,2856700
"West Tisbury",2,2091900,0,0,2,2091900
"Westford",8,11076300,0,0,8,11076300
"Westhampton",2,827200,0,0,2,827200
"Weymouth",9,51986400,0,0,7,51435000
"Whitman",3,9291800,0,0,3,9291800
"Williamstown",3,2780000,0,0,3,2780000
"Winchendon",17,12047700,0,0,17,12047700
"Wrentham",2,5173100,0,0,2,5173100
