,index,mapc_id,parloc_id,luc_adj_1,luc_adj_2,muni_id,muni,District,land_value,bldg_value,othr_value,total_value,lot_areaft,bldg_area,addr_num,addr_str,owner_city,owner_stat,owner_zip,median_hh_income,latitude,longitude,numTransitStops,walkscore,improve_value
0,123,12589,M_137001_924762,970,970,15,Athol,2nd Franklin District,32200.0,443500.0,0,475700,85636.84005,2451,881,PARTRIDGEVILLE RD,"ATHOL,",MA,1331,54625.0,42.57086727,-72.26730901,4.0,5.0,443500.0
1,125,12835,M_139156_926965,973,973,15,Athol,2nd Franklin District,0.0,0.0,900,1700,444.4986058,0,0,BICKFORD DR,ATHOL,MA,1331,60469.0,42.59087005,-72.24129628,1.0,37.0,900.0
2,126,12837,M_139135_926988,973,973,15,Athol,2nd Franklin District,0.0,0.0,900,1700,429.35234510000004,0,0,BICKFORD DR,ATHOL,MA,1331,60469.0,42.59107545,-72.24155456,1.0,37.0,900.0
3,127,12857,M_139222_926961,970,970,15,Athol,2nd Franklin District,0.0,789100.0,32600,1037100,121400.2325,3500,0,BICKFORD DR,ATHOL,MA,1331,60469.0,42.590839200000005,-72.24049178,3.0,33.0,821700.0
5,134,14329,M_141037_927097,970,970,15,Athol,2nd Franklin District,23300.0,113200.0,300,136800,7398.643126000001,5030,59,PARK ST,ATHOL,MA,1331,50732.0,42.59220319,-72.21839366,5.0,40.0,113500.0
6,135,14367,M_141372_927067,970,970,15,Athol,2nd Franklin District,24800.0,126400.0,0,151200,15608.952630000002,4282,103,KENNEBUNK ST,ATHOL,MA,1331,50732.0,42.59195846,-72.21430921,6.0,37.0,126400.0
7,136,14989,M_141800_926121,970,970,15,Athol,2nd Franklin District,0.0,350200.0,400,458900,117694.0943,4596,0,GIBSON DR,"ATHOL,",MA,1331,50732.0,42.58347477,-72.20899901,6.0,28.0,350600.0
8,137,14991,M_141905_926103,970,970,15,Athol,2nd Franklin District,0.0,446600.0,15000,594500,42370.71447,4596,0,GIBSON DR,ATHOL,MA,1331,50732.0,42.58332059,-72.20771812,6.0,30.0,461600.0
9,139,15023,M_141894_926049,970,970,15,Athol,2nd Franklin District,0.0,365900.0,9700,475400,36754.24045,1952,0,GIBSON DR,ATHOL,MA,1331,50732.0,42.58283366,-72.20784666,6.0,28.0,375600.0
10,140,15024,M_141984_926034,973,973,15,Athol,2nd Franklin District,0.0,0.0,400,1200,788.4873712,0,0,GIBSON DR,ATHOL,MA,1331,50732.0,42.58270535,-72.20674882,6.0,28.0,400.0
11,155,18745,M_171222_884851,970,970,17,Auburn,7th Worcester District,638200.0,3455200.0,21100,4114500,459417.2379,4493,200,OXFORD ST N,AUBURN,MA,1501,89830.0,42.21358219,-71.84852862,7.0,27.0,3476300.0
12,156,18791,M_171171_885007,970,970,17,Auburn,7th Worcester District,0.0,742600.0,23000,988000,184041.7957,2746,0,OXFORD ST N,AUBURN,MA,1501,89830.0,42.21498477,-71.84915401,7.0,30.0,765600.0
13,157,18973,M_173346_884669,970,970,17,Auburn,7th Worcester District,180000.0,2173600.0,20000,2373600,89291.11875,8039,277,PAKACHOAG ST,AUBURN,MA,1501,84201.0,42.212018900000004,-71.8227969,3.0,7.0,2193600.0
14,158,18974,M_173301_884772,970,970,17,Auburn,7th Worcester District,162000.0,1327300.0,0,1489300,75535.86199,6016,275,PAKACHOAG ST,AUBURN,MA,1501,84201.0,42.21294467,-71.8233466,3.0,12.0,1327300.0
15,161,19595,M_173253_884706,970,970,17,Auburn,7th Worcester District,144000.0,1346300.0,0,1490300,73830.21197,5402,279,PAKACHOAG ST,AUBURN,MA,1501,84201.0,42.21234883,-71.82392488,3.0,23.0,1346300.0
17,230,24262,M_150201_909025,970,970,21,Barre,5th Worcester District,0.0,1627500.0,1000,1832000,215691.0217,8432,146,RUGGLES LANE,BARRE,MA,1005,68139.0,42.43015596,-72.10518317,0.0,16.0,1628500.0
19,254,25541,M_150743_903886,970,970,21,Barre,5th Worcester District,0.0,533800.0,4200,664800,100308.2645,18122,39,MAIN STREET,BARRE,MA,1005,68139.0,42.38392674,-72.09815877,0.0,18.0,538000.0
21,284,33070,M_124335_893265,970,970,24,Belchertown,2nd Franklin District,187400.0,692000.0,1700,881100,156445.9068,9812,95,GEORGE HANNUM ST,BELCHERTOWN,MA,1007,86169.0,42.28619908,-72.41744007,0.0,32.0,693700.0
22,288,33604,M_125817_892521,970,970,24,Belchertown,2nd Franklin District,65300.0,251800.0,1700,318800,97746.91618,3946,68,EAST WALNUT ST,BELCHERTOWN,MA,1007,86169.0,42.27964337,-72.39937701,4.0,40.0,253500.0
23,290,33680,M_126083_892029,970,970,24,Belchertown,7th Hampden District,199900.0,1418600.0,29900,1648400,313175.6604,28758,41,EVERETT AV,BELCHERTOWN,MA,1007,86169.0,42.27523938,-72.39608967,2.0,33.0,1448500.0
