parloc_id,muni,TransitFriendlyScore
M_245312_875023,Abington,46.97373737373738
M_245433_874255,Abington,39.97373737373738
M_244468_871673,Abington,34.47373737373738
M_245207_874239,Abington,33.97373737373738
M_244446_875530,Abington,29.973737373737375
M_244997_874062,Abington,27.473737373737375
M_248522_826041,Acushnet,46.97373737373738
M_249344_825704,Acushnet,42.97373737373738
M_66947_931020,Adams,54.47373737373738
M_67212_931922,Adams,52.97373737373738
M_246443_956046,Amesbury,54.97373737373738
M_246444_955991,Amesbury,54.97373737373738
M_246579_956035,Amesbury,54.97373737373738
M_246487_956058,Amesbury,54.97373737373738
M_246022_956370,Amesbury,53.97373737373738
M_246052_956448,Amesbury,52.97373737373738
M_245992_956328,Amesbury,50.97373737373738
M_245967_956313,Amesbury,50.97373737373738
M_246978_955401,Amesbury,41.47373737373738
M_246701_958236,Amesbury,30.973737373737375
F_750596_3068111,Andover,47.97373737373738
F_755463_3064042,Andover,45.47373737373738
F_755281_3063968,Andover,45.47373737373738
F_755158_3063883,Andover,45.47373737373738
F_755422_3064146,Andover,45.47373737373738
F_755256_3064258,Andover,45.47373737373738
F_755370_3064010,Andover,45.47373737373738
F_755050_3063759,Andover,44.97373737373738
F_755673_3063838,Andover,41.47373737373738
F_755565_3063832,Andover,41.47373737373738
F_755751_3064025,Andover,40.47373737373738
F_755625_3064094,Andover,40.47373737373738
F_755653_3064340,Andover,40.47373737373738
F_755662_3063995,Andover,40.47373737373738
F_755781_3063886,Andover,40.47373737373738
F_755526_3064232,Andover,40.47373737373738
F_755729_3064122,Andover,40.47373737373738
F_755502_3063942,Andover,40.47373737373738
F_755680_3064249,Andover,40.47373737373738
F_749929_2976947,Arlington,69.5
F_750859_2977139,Arlington,68.5
F_749951_2977914,Arlington,67.5
F_749801_2977957,Arlington,67.5
F_745663_2978032,Arlington,63.5
F_739768_2980582,Arlington,62.0
F_754994_2975131,Arlington,59.5
F_745821_2978369,Arlington,58.5
F_754013_2976202,Arlington,57.5
F_754747_2975374,Arlington,57.0
M_141037_927097,Athol,38.97373737373738
M_141372_927067,Athol,37.47373737373738
M_139222_926961,Athol,35.47373737373738
M_141905_926103,Athol,33.97373737373738
M_141800_926121,Athol,32.97373737373738
M_141894_926049,Athol,32.97373737373738
M_137001_924762,Athol,21.473737373737375
M_218255_855011,Attleboro,61.5
M_217731_855243,Attleboro,59.0
M_217711_855231,Attleboro,59.0
M_217440_855095,Attleboro,57.5
M_217718_854038,Attleboro,57.0
M_217641_854068,Attleboro,54.5
M_218459_853960,Attleboro,44.0
M_218465_854008,Attleboro,44.0
M_216386_853641,Attleboro,35.5
M_218873_853854,Attleboro,34.5
M_218878_853883,Attleboro,34.5
M_215855_853808,Attleboro,29.0
M_216921_856037,Attleboro,27.0
M_215761_853687,Attleboro,26.5
M_220208_851729,Attleboro,12.5
M_171171_885007,Auburn,33.97373737373738
M_171222_884851,Auburn,32.47373737373738
M_173253_884706,Auburn,30.473737373737375
M_173301_884772,Auburn,24.973737373737375
