,Unnamed: 0,Business Name,Neighborhood,name_lower,safegraph_place_id,location_name,street_address,city,region,postal_code,safegraph_brand_ids,brands,date_range_start,date_range_end,raw_visit_counts,raw_visitor_counts,visits_by_day,poi_cbg,visitor_home_cbgs,visitor_daytime_cbgs,visitor_work_cbgs,visitor_country_of_origin,distance_from_home,median_dwell,bucketed_dwell_times,related_same_day_brand,related_same_month_brand,popularity_by_hour,popularity_by_day,device_type
0,972,AMAZING EYEBROW THREADING,East Boston,amazing eyebrow threading,sg:1778f7ea768f49e08955854106288d87,Amazing Eyebrow Threading,174 Sumner St,Boston,MA,2128,,,2020-02-01T00:00:00-05:00,2020-03-01T00:00:00-05:00,183,89,"[3,6,10,5,7,4,3,3,5,8,6,6,5,7,6,6,3,8,11,10,8,11,8,2,5,5,7,9,6]",250250504001.0,"{""250250503002"":8,""010830212002"":5,""320030033103"":4,""250250503001"":4,""250250007032"":4,""250092062003"":4,""250251005004"":4,""250250408011"":4,""250250509011"":4,""250251805003"":4,""250250501012"":4,""250214152001"":4,""250092683002"":4}","{""250250503002"":12,""250250501012"":7,""250251606012"":5,""250250511013"":4,""250251705012"":4,""250173152002"":4,""230310220001"":4,""250277351004"":4,""250092061002"":4,""250092526023"":4,""010890014022"":4,""250250512002"":4,""250250001001"":4,""250250919003"":4,""250173393003"":4,""250250505001"":4,""261251506002"":4,""250250504001"":4,""250250502002"":4,""250251701007"":4,""250251706011"":4,""250250507003"":4,""440090507001"":4,""250250007031"":4}","{""250250701013"":5,""250251706011"":4,""250259813002"":4,""250173164005"":4,""250251701007"":4,""250250701018"":4,""250250921012"":4}","{""US"":81}",5949.0,38.0,"{""<5"":5,""5-20"":70,""21-60"":28,""61-240"":43,"">240"":37}","{""America's Food Basket"":20,""Bank of America"":20,""sweetgreen"":20,""Kia Motors"":17,""Burger King"":12}","{""Dunkin'"":48,""Burger King"":26,""Market Basket"":21,""Mobil"":19,""Starbucks"":16,""McDonald's"":15,""Target"":15,""Subway"":14,""CVS"":13,""7-Eleven"":12,""Wendy's"":12,""Planet Fitness"":11,""Speedway"":10,""Shaw's"":10,""The Home Depot"":10,""Walgreens"":10,""T.J. Maxx"":9,""BJ's Wholesale Club"":8,""Dollar Tree"":8,""Marshalls"":7}","[21,22,18,18,17,20,26,25,29,31,38,37,38,33,37,37,37,37,33,21,23,16,15,18]","{""Monday"":23,""Tuesday"":24,""Wednesday"":29,""Thursday"":26,""Friday"":27,""Saturday"":29,""Sunday"":25}","{""android"":46,""ios"":41}"
1,973,Americano Espresso Bar,East Boston,americano espresso bar,sg:ba3ab7f62fee4456a178ce2b4daaaa7e,Americano Espresso Bar,155 Meridian St,Boston,MA,2128,,,2020-02-01T00:00:00-05:00,2020-03-01T00:00:00-05:00,398,273,"[10,9,25,12,14,11,9,20,15,6,19,14,23,14,11,14,10,7,9,11,24,20,11,10,8,10,16,14,22]",250250506001.0,"{""250250507001"":10,""250250501013"":8,""250250507003"":8,""250250502001"":7,""250092064001"":6,""250250509011"":6,""250250512002"":5,""250250501011"":5,""250250503002"":5,""250250102033"":5,""250250506002"":5,""250251604001"":4,""250250007042"":4,""250250203011"":4,""250250505001"":4,""250250511011"":4,""250277315005"":4,""250251401022"":4,""250250504001"":4,""250092055001"":4,""250250506001"":4,""250250501012"":4,""440010307001"":4,""250251708002"":4,""250251601014"":4,""250251705011"":4,""250092071002"":4,""250251706011"":4,""250250509012"":4,""250173421022"":4,""250092081012"":4,""250251707024"":4,""250251606025"":4,""250173424002"":4,""250092059001"":4,""250250502004"":4,""250250510001"":4,""250092081022"":4,""250173411013"":4,""250092103001"":4,""250173152002"":4,""240317010022"":4,""250251605022"":4,""250173422021"":4,""250251801013"":4,""250173662021"":4,""250251704003"":4,""250250510003"":4,""250251706013"":4,""250056525001"":4,""250277312021"":4}","{""250251701004"":8,""250250501012"":7,""250250502004"":7,""250250507003"":7,""250251605022"":7,""250250502001"":6,""250250503002"":6,""250092071002"":6,""250250510001"":6,""250250501013"":5,""250250502002"":5,""250250503001"":5,""250092055001"":4,""250250501011"":4,""250251705011"":4,""250173336003"":4,""250173422021"":4,""250251801013"":4,""250250506001"":4,""250251602003"":4,""250251804002"":4,""250250701011"":4,""250250504001"":4,""250250909012"":4,""250250203032"":4,""250251703003"":4,""250251106011"":4,""250250510003"":4,""510731003022"":4,""250173400003"":4,""250092103001"":4,""250251701005"":4,""250250507001"":4,""250251708004"":4,""250251706011"":4,""250250507002"":4,""250173241023"":4,""250250506002"":4,""250251708001"":4,""250259813002"":4,""131350506071"":4,""250250610002"":4,""250173425003"":4,""250173152002"":4,""240317010022"":4,""250173419022"":4,""250251604001"":4,""250250505001"":4,""250092081022"":4,""250250511011"":4,""250251401022"":4,""250251701007"":4,""250251708002"":4,""250250102034"":4}","{""250259813002"":5,""250173423004"":4,""250250408012"":4,""250250701018"":4,""250250401001"":4,""250250909012"":4,""250173549003"":4,""250173522001"":4,""250250510003"":4,""250250303003"":4,""250250102034"":4,""250173524002"":4,""250250403005"":4,""250251606021"":4,""250173591002"":4,""250251403005"":4,""330110010003"":4,""240317012063"":4,""250250203032"":4,""250173424001"":4,""250010133002"":4,""250250203011"":4,""250250505001"":4,""250173354003"":4,""110010107002"":4,""250250506001"":4,""250251106011"":4,""250250001001"":4,""250250104043"":4,""250250501013"":4}","{""US"":267}",3332.0,13.5,"{""<5"":18,""5-20"":228,""21-60"":93,""61-240"":38,"">240"":21}","{""Dunkin'"":19,""Subway"":18,""Kimpton Hotels & Restaurants"":14,""Dave & Buster's"":7,""Target"":5}","{""Dunkin'"":53,""Market Basket"":41,""Subway"":31,""McDonald's"":27,""CVS"":27,""Burger King"":26,""Mobil"":24,""Target"":22,""Starbucks"":21,""Walgreens"":20,""Stop & Shop"":19,""Speedway"":16,""Pollo Campero"":15,""Planet Fitness"":15,""The Home Depot"":14,""BJ's Wholesale Club"":14,""Shell Oil"":14,""Dollar Tree"":14,""7-Eleven"":13,""sweetgreen"":13}","[30,33,22,12,9,13,15,22,23,31,41,51,47,47,46,46,33,40,37,28,27,27,29,20]","{""Monday"":51,""Tuesday"":46,""Wednesday"":47,""Thursday"":61,""Friday"":61,""Saturday"":83,""Sunday"":49}","{""android"":161,""ios"":108}"
2,988,Cafe Gigu,East Boston,cafe gigu,sg:8b1e1784ee514d1bbf25d08847375594,Cafe Gigu,102 Meridian St,Boston,MA,2128,,,2020-02-01T00:00:00-05:00,2020-03-01T00:00:00-05:00,266,214,"[11,7,16,10,9,7,11,8,12,3,10,14,10,7,10,5,10,8,12,8,6,7,7,14,10,7,13,7,7]",250250503001.0,"{""250250503001"":14,""250250509012"":9,""250251605023"":7,""250173528002"":6,""250250502003"":6,""250250503002"":5,""250173701014"":5,""250250504001"":5,""250251606012"":5,""250092071002"":5,""250251704003"":5,""250259813002"":5,""250250509011"":5,""250251707012"":4,""250250502004"":4,""330151064002"":4,""250250502001"":4,""250138016032"":4,""250251702001"":4,""250251707024"":4,""250251701007"":4,""250251703003"":4,""250251605022"":4,""250251701005"":4,""250251010021"":4,""250250505001"":4,""250251703005"":4,""250250506001"":4,""250250506002"":4,""250251708001"":4,""250173567012"":4,""250250507002"":4,""250251605021"":4,""250092083001"":4,""250250507003"":4,""250250504002"":4,""250251702002"":4,""250250304002"":4,""250250511011"":4,""250251705011"":4,""250214123004"":4,""250173415003"":4,""250251707011"":4,""250251604002"":4,""250250303004"":4,""250251705022"":4,""250251706012"":4,""250250510001"":4,""250250913002"":4,""250251606024"":4}","{""250250503001"":7,""250251604001"":6,""250250801001"":5,""250250504001"":5,""250250509011"":5,""250251605023"":5,""250250505001"":5,""250250510001"":5,""250250103002"":4,""250173152002"":4,""250250203011"":4,""250251605011"":4,""250250606001"":4,""250250507001"":4,""250251604002"":4,""250250104053"":4,""250251704002"":4,""250251705011"":4,""250250501013"":4,""250251707012"":4,""250251606012"":4,""250250303003"":4,""250251708001"":4,""250251701005"":4,""250251702001"":4,""250250509012"":4,""250251605022"":4,""250214198003"":4,""250250511011"":4,""250250503002"":4,""250251605014"":4,""250173336002"":4,""250250303002"":4,""250173514035"":4,""250250502001"":4,""250251601011"":4,""250250512002"":4,""250250507003"":4,""250251706012"":4,""250251704003"":4,""250251702002"":4,""250251705022"":4}","{""250251602001"":8,""250173391001"":6,""250250303003"":4,""250250701012"":4,""250250203011"":4,""250250612001"":4,""250250509011"":4,""250214003002"":4,""250173524002"":4,""250250705003"":4,""250251601014"":4,""250251707012"":4,""250250504001"":4,""250251605021"":4,""250259815021"":4,""250251706011"":4,""250251705011"":4,""250259813002"":4,""250250501013"":4,""250250506001"":4,""250250506002"":4,""250250803001"":4,""250250101043"":4,""250250303002"":4}","{""US"":208}",3607.0,20.0,"{""<5"":16,""5-20"":124,""21-60"":54,""61-240"":51,"">240"":21}","{""IKEA"":14,""Burlington"":12,""Mobil"":12,""CrossFit"":10,""Hertz"":8,""BJ's Wholesale Club"":8}","{""Dunkin'"":57,""Market Basket"":42,""Subway"":33,""Burger King"":30,""McDonald's"":25,""CVS"":23,""Starbucks"":22,""7-Eleven"":20,""Stop & Shop"":18,""Mobil"":18,""BJ's Wholesale Club"":17,""Planet Fitness"":15,""Speedway"":15,""T.J. Maxx"":13,""Marshalls"":12,""Target"":12,""Pollo Campero"":12,""Family Dollar Stores"":11,""Kimpton Hotels & Restaurants"":11,""Shaw's"":11}","[25,18,18,21,18,18,23,38,30,39,34,33,37,35,29,28,29,30,32,32,42,34,35,37]","{""Monday"":43,""Tuesday"":38,""Wednesday"":42,""Thursday"":38,""Friday"":31,""Saturday"":43,""Sunday"":31}","{""android"":122,""ios"":92}"
3,992,chinese dragon,East Boston,chinese dragon,sg:51040e76fd124501b785fe088c966c2d,Chinese Dragon,380 Chelsea St,Boston,MA,2128,,,2020-02-01T00:00:00-05:00,2020-03-01T00:00:00-05:00,224,90,"[8,10,8,7,8,8,6,10,7,8,8,8,9,9,13,8,6,4,7,3,7,9,8,11,4,5,7,8,10]",250250509011.0,"{""250250509011"":9,""250251603002"":7,""250250503001"":5,""250092058003"":4,""250250501012"":4,""250214101002"":4,""250173421012"":4,""250250512002"":4,""250250507003"":4,""250251004001"":4,""250092058002"":4,""250250502003"":4,""250251605011"":4,""250092101003"":4,""250092052004"":4,""250250502002"":4,""250092082004"":4,""250250502004"":4}","{""250250509011"":9,""250250507003"":8,""250250502003"":6,""250173834003"":4,""250173525002"":4,""250251605011"":4,""250259813002"":4,""250173426002"":4,""250092515003"":4,""250235117022"":4,""250173363005"":4,""250092068001"":4,""250251601011"":4,""250251802004"":4,""250173419024"":4,""250092082004"":4,""250092101003"":4,""250277307004"":4}","{""250250510001"":4,""250092052003"":4,""250251704001"":4,""250092544021"":4}","{""US"":81}",4686.0,64.5,"{""<5"":3,""5-20"":52,""21-60"":55,""61-240"":59,"">240"":55}","{""TownePlace Suites by Marriott"":20,""Honda"":20,""BP"":19,""Storage Pros"":14,""Dollar General"":13,""McDonald's"":10,""Gulf Oil"":8}","{""Dunkin'"":56,""Market Basket"":35,""CVS"":28,""Mobil"":24,""McDonald's"":19,""BJ's Wholesale Club"":17,""Subway"":16,""Speedway"":16,""Burlington"":15,""Burger King"":15,""Planet Fitness"":15,""Simon mall"":14,""7-Eleven"":14,""Walgreens"":13,""Starbucks"":12,""Domino's Pizza"":12,""Wendy's"":11,""The Home Depot"":11,""T.J. Maxx"":10,""Cumberland Farms"":10}","[45,49,45,45,37,39,34,35,36,45,45,44,40,29,32,36,42,33,29,34,47,41,45,43]","{""Monday"":33,""Tuesday"":23,""Wednesday"":28,""Thursday"":27,""Friday"":30,""Saturday"":50,""Sunday"":33}","{""android"":53,""ios"":30}"
4,1020,House of Nails,East Boston,house of nails,sg:acceb69f66bb485d94d63dbdbb3f77aa,House of Nails,1020 Bennington St,Boston,MA,2128,,,2020-02-01T00:00:00-05:00,2020-03-01T00:00:00-05:00,35,32,"[0,0,2,2,1,0,0,0,0,2,3,1,2,2,1,1,0,1,2,1,2,1,1,2,2,2,2,1,1]",250250511011.0,"{""250250510001"":4,""250250511011"":4,""250250701013"":4,""250250511012"":4,""250173837003"":4,""250251801013"":4,""250259813002"":4,""250250510002"":4}","{""250250510001"":4,""250251801013"":4,""250251801012"":4,""250250511012"":4,""250250504001"":4,""250250303002"":4}","{""250259813002"":4,""250250403005"":4}","{""US"":31}",2060.0,6.0,"{""<5"":7,""5-20"":24,""21-60"":3,""61-240"":0,"">240"":1}",{},"{""Dunkin'"":53,""Starbucks"":27,""Target"":25,""Market Basket"":25,""Subway"":22,""sweetgreen"":22,""CVS"":21,""McDonald's"":19,""Stop & Shop"":18,""BJ's Wholesale Club"":18,""Burger King"":18,""Planet Fitness"":17,""Get Air"":16,""Burlington"":15,""Walgreens"":14,""7-Eleven"":13,""Pollo Campero"":12,""Wendy's"":11,""Mobil"":11,""Ten Thousand Villages"":9}","[0,0,0,0,0,4,2,1,2,4,5,2,6,4,4,4,1,1,1,1,2,1,0,1]","{""Monday"":6,""Tuesday"":8,""Wednesday"":6,""Thursday"":5,""Friday"":5,""Saturday"":3,""Sunday"":2}","{""android"":13,""ios"":18}"
5,1022,Italian express pizzeria,East Boston,italian express pizzeria,sg:1071f84255b64f56b21d234ec93b6e1b,Italian Express Pizzeria,336 Sumner St,Boston,MA,2128,,,2020-02-01T00:00:00-05:00,2020-03-01T00:00:00-05:00,143,80,"[10,3,8,1,6,5,1,4,3,5,4,2,5,2,10,2,10,5,6,8,9,6,3,3,2,6,5,7,2]",250250504002.0,"{""250250512002"":8,""250251703003"":5,""250173507004"":4,""250250504002"":4,""250250509011"":4,""250092084004"":4,""250092064003"":4,""370250426021"":4,""250250506002"":4,""250250512003"":4,""250056001002"":4}","{""250250512002"":16,""270531049001"":9,""250250701018"":4,""250250707002"":4,""250250502001"":4,""250214104002"":4,""250010144021"":4,""250250512003"":4,""250250506002"":4,""250250504002"":4,""250250509011"":4,""250251703003"":4}","{""250092102002"":7,""250173684002"":4,""271370103001"":4,""250250701018"":4,""250173524002"":4,""250250203032"":4,""250250707001"":4,""250173354002"":4,""250250512003"":4,""250214203011"":4,""250250804011"":4}","{""US"":70}",5862.0,66.0,"{""<5"":3,""5-20"":29,""21-60"":39,""61-240"":28,"">240"":44}","{""Cumberland Farms"":25,""Chick-fil-A"":11}","{""Dunkin'"":44,""Stop & Shop"":22,""Market Basket"":20,""Burger King"":20,""CVS"":18,""McDonald's"":16,""CrossFit"":14,""Subway"":14,""Wendy's"":13,""Speedway"":12,""7-Eleven"":11,""sweetgreen"":11,""T.J. Maxx"":11,""Shell Oil"":11,""Shaw's"":10,""Starbucks"":10,""Mobil"":10,""Simon mall"":9,""The Home Depot"":9,""Papa Gino's"":9}","[36,38,40,39,39,39,48,45,37,38,32,32,37,38,33,34,27,26,26,37,44,40,45,43]","{""Monday"":26,""Tuesday"":12,""Wednesday"":20,""Thursday"":23,""Friday"":19,""Saturday"":32,""Sunday"":11}","{""android"":41,""ios"":40}"
6,1030,La Chiva Restaurant,East Boston,la chiva restaurant,sg:c67877c51f64478188edad8a68fc7f3e,La Chiva Restaurant,259 Bennington St,Boston,MA,2128,,,2020-02-01T00:00:00-05:00,2020-03-01T00:00:00-05:00,369,235,"[15,12,10,16,12,5,16,9,14,12,18,15,17,12,7,12,7,12,13,12,15,18,14,12,10,10,16,16,12]",250250502004.0,"{""250250507001"":6,""250251606012"":6,""250250502004"":6,""250251601012"":5,""250250502001"":5,""250250506002"":4,""250250507003"":4,""250251708001"":4,""250173426001"":4,""250173832002"":4,""250250509011"":4,""340270450003"":4,""090035027003"":4,""250251605021"":4,""250259815021"":4,""250251604002"":4,""250250505001"":4,""250173424002"":4,""250092083004"":4,""250092081011"":4,""250092064001"":4,""250250506001"":4,""250251703005"":4,""250251705022"":4,""250250512003"":4,""250250504002"":4,""250250509012"":4,""250251701001"":4,""250138012003"":4,""250235111003"":4,""250250511011"":4,""250250303003"":4,""250250501011"":4,""250214561011"":4,""250250512002"":4,""250250501013"":4,""250251601011"":4,""250277411012"":4,""250251101037"":4,""250092065002"":4,""250251702003"":4,""250214191001"":4,""250250510001"":4,""250092101002"":4,""250250509013"":4,""090159072001"":4}","{""250250502004"":10,""250250501011"":6,""250250505001"":5,""250250507001"":5,""250173424002"":4,""250251604002"":4,""250251604001"":4,""250251605014"":4,""250250507002"":4,""250250701015"":4,""250250911003"":4,""250214182004"":4,""250250203032"":4,""250250918001"":4,""250250510001"":4,""250250203011"":4,""250251703004"":4,""250250501013"":4,""250251601011"":4,""250138012003"":4,""250092065002"":4,""250251102011"":4,""250251606024"":4,""250250509012"":4,""250250106001"":4,""250250103002"":4,""250251605012"":4,""250235102004"":4,""250092083004"":4,""250173335012"":4,""250092070001"":4,""250250509011"":4,""250092064001"":4,""250173509003"":4,""250251707011"":4,""250251707021"":4}","{""250250501013"":7,""250250509011"":5,""250250506002"":4,""250173382002"":4,""250173521012"":4,""250214035001"":4,""250250608004"":4,""250250103002"":4,""250235111002"":4,""250250505001"":4,""250250512003"":4,""250250804011"":4,""250173424004"":4,""250250108012"":4}","{""US"":224}",3428.0,20.0,"{""<5"":11,""5-20"":174,""21-60"":85,""61-240"":46,"">240"":53}","{""Fresh City"":17,""CrossFit"":10,""Pollo Campero"":9,""Dunkin'"":8,""Honda"":8,""Ford Motor Company"":8}","{""Dunkin'"":55,""Market Basket"":32,""Burger King"":22,""McDonald's"":20,""CVS"":20,""Planet Fitness"":19,""Mobil"":19,""Subway"":18,""Stop & Shop"":16,""Starbucks"":14,""Target"":13,""Speedway"":13,""7-Eleven"":12,""sweetgreen"":12,""Dollar Tree"":11,""BJ's Wholesale Club"":11,""T.J. Maxx"":11,""Sunoco"":10,""Family Dollar Stores"":10,""Wendy's"":10}","[34,33,35,29,24,30,34,47,65,70,75,63,70,55,59,55,37,39,28,33,41,42,46,45]","{""Monday"":41,""Tuesday"":56,""Wednesday"":50,""Thursday"":50,""Friday"":59,""Saturday"":61,""Sunday"":52}","{""android"":138,""ios"":97}"
7,1038,Little Asia Restaurant,East Boston,little asia restaurant,sg:c6815256d0c348ac84c9da5467e88b7c,Little Asia Restaurant,991 Bennington St,Boston,MA,2128,,,2020-02-01T00:00:00-05:00,2020-03-01T00:00:00-05:00,165,87,"[6,1,2,3,5,5,2,5,6,3,6,9,8,9,8,3,8,9,4,7,6,9,5,5,7,3,7,9,5]",250250511011.0,"{""250250510001"":7,""250250511011"":7,""250251708004"":6,""250250511013"":5,""250250503002"":4,""340270458043"":4,""250250511012"":4,""230050026001"":4,""250251703004"":4,""250251403005"":4,""250251802002"":4,""250251705022"":4,""250251805003"":4,""250251801013"":4,""250092091005"":4,""250251805001"":4}","{""250250511013"":6,""250251802002"":4,""250251805001"":4,""250173423002"":4,""250251801013"":4,""250250510001"":4,""250251703003"":4,""250250511011"":4,""340270458043"":4,""250251805003"":4,""250092641002"":4,""440070146002"":4,""250251702001"":4,""250250606001"":4,""250251708004"":4,""250251404007"":4}","{""250251703004"":4,""250250806011"":4,""250250510001"":4,""250250920001"":4,""250214035002"":4,""250250509011"":4,""250259813002"":4,""250250303003"":4}","{""US"":82}",2571.0,42.0,"{""<5"":1,""5-20"":50,""21-60"":46,""61-240"":48,"">240"":20}","{""Dunkin'"":39}","{""Dunkin'"":50,""Stop & Shop"":35,""Market Basket"":33,""CVS"":31,""Target"":28,""Starbucks"":26,""Burger King"":16,""Wendy's"":15,""Dollar Tree"":15,""Mobil"":15,""BJ's Wholesale Club"":14,""McDonald's"":13,""Subway"":13,""The Home Depot"":11,""7-Eleven"":10,""Speedway"":10,""DoubleTree by Hilton"":9,""Sunoco"":9,""Simon mall"":8,""Cumberland Farms"":8}","[2,0,0,0,0,1,5,3,4,7,18,21,29,38,33,37,45,44,45,29,18,16,10,3]","{""Monday"":18,""Tuesday"":25,""Wednesday"":21,""Thursday"":27,""Friday"":26,""Saturday"":33,""Sunday"":15}","{""android"":46,""ios"":38}"
8,1059,Pockets Billiard Club,East Boston,pockets billiard club,sg:dd6d92bfd75c4351b76525f503aea580,Pockets Billiard Club,981 Bennington St,Boston,MA,2128,,,2020-02-01T00:00:00-05:00,2020-03-01T00:00:00-05:00,148,116,"[6,5,5,4,5,3,4,3,4,4,6,2,5,9,10,3,2,6,5,9,3,3,8,6,9,2,5,6,6]",250250511011.0,"{""250250803001"":7,""250056504001"":4,""250251702001"":4,""250251401024"":4,""250250507003"":4,""290950009002"":4,""250251706011"":4,""250092084004"":4,""250235108002"":4,""250250812001"":4,""250251401022"":4,""250173354004"":4,""250092068002"":4,""250251802001"":4,""250250510001"":4,""250251702002"":4,""250092522011"":4,""330150033012"":4,""250092047021"":4,""250251605012"":4,""250250512002"":4,""250173422021"":4,""250251801012"":4,""250250305003"":4,""250250511012"":4,""250250502004"":4,""250173543001"":4,""250250511014"":4}","{""250251601014"":7,""250173704002"":6,""250250510002"":5,""250250502002"":4,""250092011001"":4,""290950009002"":4,""250250504002"":4,""250235108002"":4,""250250812001"":4,""250092641001"":4,""250092047013"":4,""250251401022"":4,""250251601012"":4,""250250909012"":4,""250251707024"":4,""250250511011"":4,""250251801013"":4,""250250102034"":4,""250250511013"":4,""250250810011"":4,""250092083004"":4,""250092605001"":4,""250092055002"":4,""250251705011"":4,""250250606001"":4,""250251401024"":4,""250214163002"":4,""250250511014"":4,""250214177014"":4,""250173737003"":4,""250173354004"":4}","{""250259813002"":4,""250251601014"":4,""250251705011"":4,""250250606001"":4,""250092216001"":4,""250250303003"":4,""250092114011"":4,""250250203032"":4,""250251604001"":4,""250173418004"":4,""250250909012"":4}","{""US"":109}",4458.0,38.0,"{""<5"":5,""5-20"":45,""21-60"":45,""61-240"":48,"">240"":5}","{""Target"":23,""Dunkin'"":12}","{""Dunkin'"":51,""Market Basket"":32,""CVS"":28,""Burger King"":26,""Starbucks"":22,""Target"":21,""McDonald's"":20,""Subway"":20,""Mobil"":19,""Dollar Tree"":17,""Stop & Shop"":15,""Planet Fitness"":15,""7-Eleven"":14,""BJ's Wholesale Club"":14,""Speedway"":13,""sweetgreen"":12,""Walgreens"":11,""The Home Depot"":11,""CrossFit"":11,""Sunoco"":10}","[9,9,4,1,3,2,8,8,8,11,7,9,18,23,20,16,21,21,18,21,21,13,8,8]","{""Monday"":17,""Tuesday"":25,""Wednesday"":14,""Thursday"":22,""Friday"":22,""Saturday"":28,""Sunday"":20}","{""android"":77,""ios"":43}"
9,1060,POLLOS A LA BRASA BETOS,East Boston,pollos a la brasa betos,sg:fd403b9a282b42319fb3f7e48f986708,Pollos A La Brasa Betos,69 Bennington St,Boston,MA,2128,,,2020-02-01T00:00:00-05:00,2020-03-01T00:00:00-05:00,209,100,"[12,5,8,4,6,6,7,6,7,10,6,5,8,6,6,6,7,5,6,4,8,7,8,12,6,12,7,10,9]",250250507001.0,"{""250250507001"":10,""250251801013"":5,""250250502004"":4,""250251601014"":4,""250250509012"":4,""250251701002"":4,""250250510003"":4,""250251707011"":4,""250251706012"":4,""250251705011"":4,""250250511011"":4,""250251401024"":4,""250250507003"":4,""250250511013"":4,""120950168021"":4}","{""250250507001"":11,""250092131004"":6,""250173701025"":5,""250251605013"":4,""250251708002"":4,""250250902003"":4,""250092056001"":4,""250092054001"":4,""250250703001"":4,""250250509012"":4,""250250203032"":4,""250251705011"":4,""250250510001"":4,""250250202002"":4,""250251706012"":4,""250173241023"":4,""250173214002"":4,""250251704003"":4}","{""250173418004"":4,""250251706011"":4,""250250303003"":4,""250173421011"":4,""250250203032"":4}","{""US"":91}",3174.0,41.0,"{""<5"":8,""5-20"":68,""21-60"":44,""61-240"":56,"">240"":33}","{""Barnes and Noble"":20,""Kay Jewelers"":17,""Dunkin'"":16,""Market Basket"":14,""McDonald's"":6}","{""Dunkin'"":59,""Market Basket"":39,""Subway"":28,""Mobil"":27,""McDonald's"":23,""Burger King"":22,""7-Eleven"":21,""Stop & Shop"":19,""Starbucks"":18,""Pollo Campero"":17,""Shell Oil"":14,""Planet Fitness"":14,""Walgreens"":14,""CVS"":14,""Shaw's"":13,""Target"":13,""BJ's Wholesale Club"":12,""sweetgreen"":12,""Family Dollar Stores"":11,""Marshalls"":11}","[33,28,28,27,27,30,24,18,19,24,26,25,34,25,37,41,36,40,41,44,42,40,40,39]","{""Monday"":37,""Tuesday"":21,""Wednesday"":29,""Thursday"":25,""Friday"":31,""Saturday"":40,""Sunday"":26}","{""android"":59,""ios"":40}"
