,index,32,31
0,387,42.3797036345,-71.0233935644
1,388,42.3797825963,-71.0232672506
2,424,42.38031825,-71.0238302569
3,434,42.3799644161,-71.0233705139
4,435,42.3800514014,-71.0236593629
5,437,42.3798971397,-71.0238040828
6,441,42.3961511724,-71.0138632142
7,447,42.3848322068,-71.0210931163
8,450,42.3849184266,-71.0206151105
9,451,42.3866520521,-71.0200228396
10,455,42.3856042416,-71.0217609865
11,458,42.3832331968,-71.0227337115
12,501,42.3815045297,-71.0239508781
13,1441,42.3837626634,-70.9966438329
14,1480,42.3863518984,-71.0055157739
15,1482,42.3866426792,-71.0060660447
16,1485,42.3845443986,-70.9950576735
17,4307,42.3703286728,-71.0369830871
18,4309,42.3703228729,-71.0367576031
19,4310,42.371397712,-71.0355359366
20,4314,42.3713538053,-71.0350899687
21,4315,42.3730929794,-71.0334368857
22,4316,42.3746911636,-71.031530004
23,4318,42.3766545262,-71.02928979
24,4319,42.377545041,-71.0282528268
25,4320,42.374661984,-71.0309894396
26,4952,42.3756905057,-71.0253478257
27,4953,42.3757162853,-71.0272129585
28,4955,42.3777146608,-71.0274827352
29,4959,42.3783152963,-71.0267425798
30,4960,42.3789823755,-71.0259539604
31,4961,42.3794236566,-71.0253455186
32,5010,42.3790043631,-71.0233093933
33,5219,42.3641687886,-71.0276188408
34,5244,42.3632251962,-71.0286411079
35,5245,42.3632335892,-71.028983194
36,5246,42.3635745191,-71.0293681136
37,5247,42.3631254936,-71.0293537623
38,5248,42.3632129351,-71.0299213239
39,5249,42.3632403348,-71.0304398386
40,6464,42.3695771881,-71.0376342533
41,6539,42.3674918855,-71.039295496
42,6540,42.3684038127,-71.0386642368
43,6740,42.3720364671,-71.0397869836
44,6939,42.3715783392,-71.038208087
45,6940,42.3716606771,-71.0382470046
46,6942,42.3717770178,-71.0381567279
47,7064,42.3734569175,-71.0372205339
48,7066,42.3734097408,-71.0367939179
49,7328,42.3755822501,-71.0376620272
50,8441,42.3456727014,-70.9554736993
51,8442,42.345168718,-70.9563031267
52,8443,42.3522673969,-70.9619019455
53,8444,42.3524821799,-70.9654158591
54,8447,42.3503117747,-70.9566022826
55,8448,42.350717236,-70.9544537671
56,8449,42.3493710272,-70.9554953207
57,8454,42.3295015893,-70.9571576032
58,10352,42.3793726157,-71.0683913615
59,10617,42.3818372015,-71.0695218557
60,10618,42.3817324216,-71.06932288
61,10619,42.3816603406,-71.0691830795
62,10620,42.3821578976,-71.0698371616
63,10827,42.3829937561,-71.0715237972
64,11607,42.3884055001,-71.0741324955
65,11852,42.3815516467,-71.0770969581
66,11854,42.3804831745,-71.0765754387
67,11855,42.3806970384,-71.0765443553
68,11856,42.3808276266,-71.0763973156
69,11868,42.3816184394,-71.0763847395
70,11890,42.3804544504,-71.0765269683
71,11891,42.3802317086,-71.0753809312
72,11917,42.3733769226,-71.0706509329
73,11921,42.373169478,-71.0717412454
74,12048,42.381807179,-71.0714889239
75,12090,42.3769752732,-71.0561409902
76,12106,42.3818512729,-71.0502490405
77,12107,42.3812558225,-71.0505249871
78,12113,42.3831131464,-71.0538334049
79,12115,42.3822235613,-71.0501845738
80,12116,42.3820562827,-71.0502997381
81,12117,42.3815614345,-71.0506810655
82,12119,42.3817383519,-71.0542044284
83,12121,42.3823299547,-71.0578415503
84,12123,42.3836146388,-71.0578936771
85,14087,42.3760383755,-71.0545298702
86,14433,42.3762515378,-71.048552796
87,14434,42.377481158,-71.0482802877
