Dist Code,Impacted G,Proporti 1,Proportion,REP,Rep Dist,Rep First,Rep Last,Rep Party,Route Ids,Stop Id,Stop Name,Town,URL,Geometry,Geometry (HOUSE2012 POLY.shp),Impacted P,Income,Income Lev,Repdistnum,Shape Area,Shape Len
SUFF13,"25021416400,25025100800,25025100601,25025100700,25025100603","0.03,0.15,0.04,0.59,0.13","0.01,0.17,0.13,0.99,0.29",Daniel J. Hunt (D),13th Suffolk,Daniel J.,Hunt,(D),201,3077,Gallivan Blvd @ opp Marsh St,BOSTON,http://malegislature.gov/Legislators/Profile/DJH1,Point,MultiPolygon,1046,88129,2,136,8642595.73697,34955.033552
SUFF10,"25025130402,25025130300,25025130200,25025130100,25025130404","0.09,0.19,0.42,0.28,0.02","0.08,0.26,0.63,0.13,0.02",Edward F. Coppinger (D),10th Suffolk,Edward F.,Coppinger,(D),"37,38",841,Lagrange St @ Virgil Rd,BOSTON,http://malegislature.gov/Legislators/Profile/E_C1,Point,Polygon,632,105528,2,133,23225083.8591,30760.3994202
SUFF12,"25025100500,25025100400,25025100300,25025101102,25025101101,25025101002,25025100900,25025100200,25025100100","0.07,0.06,0.24,0.11,0.01,0.14,0.01,0.17,0.19","0.17,0.18,1.00,0.41,0.06,0.24,0.02,1.00,0.37",Daniel Cullinane (D),12th Suffolk,Daniel,Cullinane,(D),26,446,Norfolk St @ Nelson St,BOSTON,http://malegislature.gov/Legislators/Profile/D_C1,Point,Polygon,3056,44993,2,135,10215903.3988,23539.4207407
SUFF10,"25025130402,25025130300,25025130200,25025130100,25025130404","0.09,0.19,0.42,0.29,0.02","0.08,0.26,0.63,0.13,0.02",Edward F. Coppinger (D),10th Suffolk,Edward F.,Coppinger,(D),"37,38",847,Lagrange St opp Virgil St,BOSTON,http://malegislature.gov/Legislators/Profile/E_C1,Point,Polygon,632,105521,2,133,23225083.8591,30760.3994202
SUFF12,"25021416400,25025100800,25025100601,25025100500,25025100400,25025100700,25025100603","0.01,0.44,0.09,0.00,0.01,0.40,0.03","0.00,0.51,0.32,0.01,0.03,0.67,0.06",Daniel Cullinane (D),12th Suffolk,Daniel,Cullinane,(D),"19,201",3079,Adams St @ Minot St,BOSTON,http://malegislature.gov/Legislators/Profile/D_C1,Point,Polygon,1647,86335,2,135,10215903.3988,23539.4207407
NOR15,"25021400800,25021400400,25021400300,25021400500,25021400200,25025000703,25025000704,25025000802,25025000701","0.03,0.28,0.26,0.05,0.17,0.08,0.09,0.01,0.03","0.11,0.73,1.00,0.19,0.63,0.95,0.73,0.02,0.30",Tommy Vitolo (D),15th Norfolk,Tommy,Vitolo,(D),66,1304,Harvard St @ Coolidge St,BROOKLINE,http://malegislature.gov/Legislators/Profile/T_V1,Point,Polygon,7596,94434,2,111,5526976.68498,18475.2737382
NOR15,"25021400800,25021400400,25021400300,25021400500,25021400200,25025000703,25025000704,25025000802,25025000701","0.03,0.28,0.26,0.05,0.16,0.08,0.09,0.02,0.04","0.09,0.73,1.00,0.18,0.61,0.96,0.77,0.03,0.34",Tommy Vitolo (D),15th Norfolk,Tommy,Vitolo,(D),66,1375,Harvard St @ Coolidge St,BROOKLINE,http://malegislature.gov/Legislators/Profile/T_V1,Point,Polygon,7704,93955,2,111,5526976.68498,18475.2737382
SUFF12,"25021416400,25025100800,25025100601,25025100500,25025100400,25025100700,25025100603","0.01,0.43,0.10,0.00,0.01,0.40,0.03","0.00,0.50,0.36,0.01,0.02,0.67,0.07",Daniel Cullinane (D),12th Suffolk,Daniel,Cullinane,(D),"19,202",8687,Adams St @ Minot St,BOSTON,http://malegislature.gov/Legislators/Profile/D_C1,Point,Polygon,1698,86158,2,135,10215903.3988,23539.4207407
SUFF17,"25021400400,25021400600,25025000504,25025000503,25025000701,25025000602,25025000601,25025000502,25025000402,25025000401,25025000202","0.03,0.02,0.14,0.04,0.08,0.23,0.14,0.00,0.06,0.21,0.05","0.08,0.03,0.85,0.52,0.74,0.79,0.57,0.00,0.16,0.98,0.16",Kevin G. Honan (D),17th Suffolk,Kevin G.,Honan,(D),65,1298,Washington St @ Monastery Rd,BOSTON,http://malegislature.gov/Legislators/Profile/KGH1,Point,Polygon,7253,66217,2,140,4034410.10147,18768.295055
SUFF10,"25025110607,25025130402,25025130300,25025130200,25025130100,25025110501,25025130404","0.00,0.03,0.38,0.52,0.05,0.00,0.02","0.00,0.03,0.53,0.78,0.02,0.01,0.02",Edward F. Coppinger (D),10th Suffolk,Edward F.,Coppinger,(D),"37,36,38,27,35",808,Centre St opp Bellevue st,BOSTON,http://malegislature.gov/Legislators/Profile/E_C1,Point,Polygon,732,110423,2,133,23225083.8591,30760.3994202
SUFF18,"25025000504,25025000302,25025000503,25025000602,25025000601,25025000502,25025000402,25025000401,25025000202,25025000201","0.01,0.02,0.04,0.11,0.10,0.04,0.31,0.21,0.17,0.01","0.05,0.05,0.62,0.37,0.39,0.06,0.78,0.99,0.57,0.03",Michael J. Moran (D),18th Suffolk,Michael J.,Moran,(D),"86,51",1034,Chestnut Hill Ave @ Union St,BOSTON,http://malegislature.gov/Legislators/Profile/MJM1,Point,Polygon,4518,72639,2,141,8877673.11721,35714.4476821
