route_id,level_0,level_1,total,impacted_pop,impacted_p
40,3,4,7,0,210952
33,2,2,4,0,239988
16,15,15,30,0,641514
34,22,9,31,0,653872
36,22,9,31,0,665434
32,22,9,31,0,660658
38,10,8,18,0,597380
23,27,17,44,0,483590
19,35,32,67,0,1115978
22,34,21,55,0,804282
29,25,16,41,0,463040
10,14,14,28,0,1115770
66,15,22,37,0,1107656
28,36,22,58,0,525018
14,27,23,50,0,612534
45,34,32,66,0,572288
43,5,3,8,0,690340
8,21,16,37,0,921582
47,21,6,27,0,897040
708,7,2,9,0,227412
57,3,4,7,0,759658
9,10,8,18,0,1169790
747,4,2,6,0,442278
21,3,8,11,0,533952
31,3,3,6,0,114408
216,7,9,16,0,81134
214,7,9,16,0,67238
44,27,20,47,0,460840
15,14,12,26,0,636498
170,5,2,7,0,603562
1,7,4,11,0,823310
171,4,1,5,0,88458
749,3,2,5,0,334978
751,3,2,5,0,317572
41,7,21,28,0,532670
42,1,16,17,0,277582
39,5,9,14,0,736240
742,3,2,5,0,49388
120,3,9,12,0,512172
442,4,35,39,0,251452
439,3,26,29,0,76520
441,4,35,39,0,258480
426,2,13,15,0,251280
435,3,15,18,0,190560
456,1,12,13,0,230770
436,3,17,20,0,212278
448,3,20,23,0,244534
455,2,17,19,0,392974
429,2,15,17,0,198442
449,3,20,23,0,229626
459,5,19,24,0,439484
450,3,3,6,0,275086
65,0,4,4,0,719340
60,0,4,4,0,441988
37,0,5,5,0,498734
35,0,6,6,0,589384
55,0,9,9,0,630300
4,0,2,2,0,434614
712,0,1,1,0,104944
713,0,1,1,0,105378
119,0,14,14,0,148734
