Title: Health Care Expenditures by State of Residence (in millions) | KFF,
Timeframe: 2014,
Location,Total Health Spending
United States,"$2,562,824 "
Alabama,"$35,263 "
Alaska,"$8,151 "
Arizona,"$43,356 "
Arkansas,"$21,980 "
California,"$291,989 "
Colorado,"$36,398 "
Connecticut,"$35,413 "
Delaware,"$9,587 "
District of Columbia,"$7,871 "
Florida,"$160,624 "
Georgia,"$66,447 "
Hawaii,"$10,338 "
Idaho,"$11,315 "
Illinois,"$106,306 "
Indiana,"$54,741 "
Iowa,"$25,487 "
Kansas,"$22,183 "
Kentucky,"$35,323 "
Louisiana,"$36,324 "
Maine,"$12,684 "
Maryland,"$51,330 "
Massachusetts,"$71,274 "
Michigan,"$79,874 "
Minnesota,"$48,377 "
Mississippi,"$22,879 "
Missouri,"$49,137 "
Montana,"$8,409 "
Nebraska,"$15,823 "
Nevada,"$19,020 "
New Hampshire,"$12,742 "
New Jersey,"$79,066 "
New Mexico,"$15,027 "
New York,"$192,809 "
North Carolina,"$72,160 "
North Dakota,"$7,289 "
Ohio,"$101,013 "
Oklahoma,"$29,575 "
Oregon,"$31,920 "
Pennsylvania,"$118,419 "
Rhode Island,"$10,071 "
South Carolina,"$35,299 "
South Dakota,"$7,616 "
Tennessee,"$48,249 "
Texas,"$188,559 "
Utah,"$17,597 "
Vermont,"$6,389 "
Virginia,"$62,847 "
Washington,"$55,819 "
West Virginia,"$17,491 "
Wisconsin,"$50,109 "
Wyoming,"$4,856 "
,
Notes,
"The Centers for Medicare and Medicaid Services (CMS) Office of the Actuary produces Health Expenditures by State of Residence and Health Expenditures by State of Provider every five years. The State Health Expenditure Accounts are a subcomponent of the National Health Expenditure Accounts (NHEA), the official government estimates of health spending in the United States.  ",
,
All health spending is displayed in millions of dollars.,
,
Additional information on data and methods is available [here.](http://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/NationalHealthExpendData/NationalHealthAccountsStateHealthAccountsResidence.html)  ,
,
"For additional analysis of these data, please see Health Affairs article, [""Health Spending by State, 1991-2014: Measuring Per Capita Spending by Payer and Programs""](http://content.healthaffairs.org/content/early/2017/06/13/hlthaff.2017.0416).",
,
Sources,
"Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group. [National Health Expenditure Data: Health Expenditures by State of Residence](https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/NationalHealthExpendData/NationalHealthAccountsStateHealthAccountsResidence.html), June 2017.",
,
Definitions,
"*Total Health Spending* includes spending for all privately and publicly funded personal health care services and products (hospital care, physician services, nursing home care, prescription drugs, etc.) by state of residence. Hospital spending is included and reflects the total net revenue (gross charges less contractual adjustments, bad debts, and charity care). Costs such as insurance program administration, research, and construction expenses are not included in this total.",
